https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume USD
1715040000,2024-05-07 00:00:00,USDT/USD,1.00005,1.00005,1.00005,1.00005,12908.13962,12908.785026981
1715036400,2024-05-06 23:00:00,USDT/USD,1.00006,1.00007,1.00005,1.00005,79252.13931,79256.1019169655
1715032800,2024-05-06 22:00:00,USDT/USD,1.00007,1.00018,1.00005,1.00005,227805.39210,227816.78236960503
1715029200,2024-05-06 21:00:00,USDT/USD,1.00001,1.00007,1.00000,1.00007,256003.69058,256021.6108383406
1715025600,2024-05-06 20:00:00,USDT/USD,1.00010,1.00011,1.00000,1.00001,304220.93979,304223.9819993979
1715022000,2024-05-06 19:00:00,USDT/USD,1.00011,1.00011,1.00010,1.00010,226367.10846,226389.745170846
1715018400,2024-05-06 18:00:00,USDT/USD,1.00011,1.00011,1.00010,1.00011,261751.91562,261780.70833071822
1715014800,2024-05-06 17:00:00,USDT/USD,1.00011,1.00012,1.00010,1.00011,170325.96817,170344.70402649872
1715011200,2024-05-06 16:00:00,USDT/USD,1.00010,1.00016,1.00005,1.00012,597163.76135,597235.421001362
1715007600,2024-05-06 15:00:00,USDT/USD,1.00014,1.00016,1.00000,1.00010,318787.37922,318819.257957922
1715004000,2024-05-06 14:00:00,USDT/USD,1.00006,1.00042,1.00006,1.00025,545962.63171,546099.1223679276
1715000400,2024-05-06 13:00:00,USDT/USD,1.00003,1.00016,1.00000,1.00006,542668.31480,542700.874898888
1714996800,2024-05-06 12:00:00,USDT/USD,1.00009,1.00057,1.00002,1.00009,1634511.21880,1634658.3248096919
1714993200,2024-05-06 11:00:00,USDT/USD,1.00009,1.00015,1.00004,1.00009,48388.37839,48392.733344055094
1714989600,2024-05-06 10:00:00,USDT/USD,0.99998,1.00017,0.99994,1.00004,316302.94239,316315.5945076956
1714986000,2024-05-06 09:00:00,USDT/USD,1.00002,1.00004,0.99989,1.00001,528278.88051,528284.1632988051
1714982400,2024-05-06 08:00:00,USDT/USD,1.00003,1.00014,0.99996,1.00002,97565.63192,97567.5832326384
1714978800,2024-05-06 07:00:00,USDT/USD,0.99999,1.00014,0.99998,1.00003,31134.43569,31135.369723070697
1714975200,2024-05-06 06:00:00,USDT/USD,1.00001,1.00016,0.99998,1.00009,14244.09177,14245.373738259299
1714971600,2024-05-06 05:00:00,USDT/USD,1.00011,1.00011,0.99998,1.00006,64756.42727,64760.3126556362
1714968000,2024-05-06 04:00:00,USDT/USD,1.00012,1.00021,1.00006,1.00011,954.86498,954.9700151478
1714964400,2024-05-06 03:00:00,USDT/USD,1.00010,1.00021,1.00008,1.00021,7034.97013,7036.4474737273
1714960800,2024-05-06 02:00:00,USDT/USD,1.00026,1.00026,1.00003,1.00011,57959.20465,57965.580162511505
1714957200,2024-05-06 01:00:00,USDT/USD,1.00015,1.00029,1.00013,1.00018,7317.03689,7318.3539566402005
1714953600,2024-05-06 00:00:00,USDT/USD,1.00024,1.00025,1.00014,1.00015,10483.14199,10484.714461298501
1714950000,2024-05-05 23:00:00,USDT/USD,1.00008,1.00017,1.00001,1.00001,315552.72822,315555.8837472822
1714946400,2024-05-05 22:00:00,USDT/USD,1.00010,1.00018,1.00009,1.00016,4471.40851,4472.1239353616
1714942800,2024-05-05 21:00:00,USDT/USD,1.00016,1.00020,1.00010,1.00017,44521.35722,44528.9258507274
1714939200,2024-05-05 20:00:00,USDT/USD,1.00015,1.00019,1.00012,1.00012,3898.29143,3898.7592249716
1714935600,2024-05-05 19:00:00,USDT/USD,1.00023,1.00034,1.00012,1.00012,178172.82740,178194.20813928798
1714932000,2024-05-05 18:00:00,USDT/USD,1.00017,1.00038,1.00009,1.00023,129118.84968,129148.54701542639
1714928400,2024-05-05 17:00:00,USDT/USD,1.00016,1.00033,1.00009,1.00016,193554.05630,193585.024949008
1714924800,2024-05-05 16:00:00,USDT/USD,1.00016,1.00020,1.00001,1.00007,110305.35577,110313.0771449039
1714921200,2024-05-05 15:00:00,USDT/USD,1.00019,1.00019,1.00015,1.00015,490625.62613,490699.21997391956
1714917600,2024-05-05 14:00:00,USDT/USD,1.00014,1.00025,1.00013,1.00018,57110.45590,57120.735782062
1714914000,2024-05-05 13:00:00,USDT/USD,1.00022,1.00024,1.00010,1.00014,324241.68049,324287.0743252686
1714910400,2024-05-05 12:00:00,USDT/USD,1.00016,1.00025,1.00015,1.00016,3068.84722,3069.3382355552
1714906800,2024-05-05 11:00:00,USDT/USD,1.00020,1.00021,1.00015,1.00015,11698.73210,11700.486909815001
1714903200,2024-05-05 10:00:00,USDT/USD,1.00020,1.00021,1.00020,1.00020,10089.50221,10091.520110442001
1714899600,2024-05-05 09:00:00,USDT/USD,1.00020,1.00025,1.00020,1.00020,27644.91575,27650.444733149998
1714896000,2024-05-05 08:00:00,USDT/USD,1.00023,1.00023,1.00020,1.00020,83624.05558,83640.780391116
1714892400,2024-05-05 07:00:00,USDT/USD,1.00021,1.00022,1.00020,1.00020,85790.39788,85807.555959576
1714888800,2024-05-05 06:00:00,USDT/USD,1.00021,1.00022,1.00021,1.00022,4110.02917,4110.9333764174
1714885200,2024-05-05 05:00:00,USDT/USD,1.00021,1.00022,1.00021,1.00021,45858.11409,45867.7442939589
1714881600,2024-05-05 04:00:00,USDT/USD,1.00022,1.00027,1.00021,1.00021,52839.77100,52850.867351910005
1714878000,2024-05-05 03:00:00,USDT/USD,1.00021,1.00025,1.00021,1.00021,1708.56609,1708.9248888789
1714874400,2024-05-05 02:00:00,USDT/USD,1.00021,1.00024,1.00021,1.00024,4405.17226,4406.2295013424
1714870800,2024-05-05 01:00:00,USDT/USD,1.00023,1.00027,1.00021,1.00024,6061.08287,6062.5375298888
1714867200,2024-05-05 00:00:00,USDT/USD,1.00021,1.00026,1.00021,1.00024,13890.81417,13894.1479654008
1714863600,2024-05-04 23:00:00,USDT/USD,1.00021,1.00022,1.00021,1.00022,1568.01819,1568.3631540018002
1714860000,2024-05-04 22:00:00,USDT/USD,1.00021,1.00022,1.00021,1.00021,19260.67047,19264.715210798702
1714856400,2024-05-04 21:00:00,USDT/USD,1.00022,1.00022,1.00021,1.00022,6307.07362,6308.461176196401
1714852800,2024-05-04 20:00:00,USDT/USD,1.00022,1.00022,1.00021,1.00021,8498.09673,8499.8813303133
1714849200,2024-05-04 19:00:00,USDT/USD,1.00021,1.00032,1.00021,1.00022,141276.78506,141307.8659527132
1714845600,2024-05-04 18:00:00,USDT/USD,1.00022,1.00022,1.00021,1.00022,1599.16096,1599.5127754112002
1714842000,2024-05-04 17:00:00,USDT/USD,1.00021,1.00022,1.00021,1.00022,36541.30770,36549.346787694005
1714838400,2024-05-04 16:00:00,USDT/USD,1.00021,1.00025,1.00021,1.00022,3234.96166,3235.6733515652004
1714834800,2024-05-04 15:00:00,USDT/USD,1.00031,1.00031,1.00021,1.00021,104719.46765,104741.45873820651
1714831200,2024-05-04 14:00:00,USDT/USD,1.00029,1.00031,1.00023,1.00023,5873.36082,5874.7116929886
1714827600,2024-05-04 13:00:00,USDT/USD,1.00022,1.00025,1.00022,1.00022,12943.70885,12946.556465947002
1714824000,2024-05-04 12:00:00,USDT/USD,1.00022,1.00023,1.00022,1.00022,7402.18776,7403.8162413072005
1714820400,2024-05-04 11:00:00,USDT/USD,1.00023,1.00026,1.00022,1.00023,55803.88202,55816.71691286459
1714816800,2024-05-04 10:00:00,USDT/USD,1.00023,1.00023,1.00022,1.00023,72351.49892,72368.1397647516
1714813200,2024-05-04 09:00:00,USDT/USD,1.00023,1.00023,1.00022,1.00023,20369.16907,20373.853978886098
1714809600,2024-05-04 08:00:00,USDT/USD,1.00025,1.00026,1.00021,1.00022,2376.11002,2376.6327642044002
1714806000,2024-05-04 07:00:00,USDT/USD,1.00033,1.00033,1.00025,1.00026,3353.63052,3354.5024639352
1714802400,2024-05-04 06:00:00,USDT/USD,1.00051,1.00051,1.00030,1.00030,93888.68007,93916.846674021
1714798800,2024-05-04 05:00:00,USDT/USD,1.00050,1.00051,1.00050,1.00051,102394.64547,102446.8667391897
1714795200,2024-05-04 04:00:00,USDT/USD,1.00050,1.00051,1.00050,1.00051,193590.46749,193689.19862841992
1714791600,2024-05-04 03:00:00,USDT/USD,1.00050,1.00051,1.00050,1.00051,39642.89390,39663.111775889
1714788000,2024-05-04 02:00:00,USDT/USD,1.00050,1.00051,1.00050,1.00051,30624.45759,30640.076063370903
1714784400,2024-05-04 01:00:00,USDT/USD,1.00050,1.00051,1.00050,1.00050,32781.30826,32797.69891412999
1714780800,2024-05-04 00:00:00,USDT/USD,1.00051,1.00055,1.00050,1.00051,70372.17020,70408.060006802
1714777200,2024-05-03 23:00:00,USDT/USD,1.00054,1.00065,1.00050,1.00051,292776.41448,292925.7304513848
1714773600,2024-05-03 22:00:00,USDT/USD,1.00060,1.00060,1.00050,1.00055,195219.85034,195327.22125768702
1714770000,2024-05-03 21:00:00,USDT/USD,1.00050,1.00060,1.00050,1.00054,125254.92362,125322.5612787548
1714766400,2024-05-03 20:00:00,USDT/USD,1.00042,1.00082,1.00036,1.00057,534704.25335,535009.0347744095
1714762800,2024-05-03 19:00:00,USDT/USD,1.00029,1.00045,1.00025,1.00045,159215.94258,159287.58975416102
1714759200,2024-05-03 18:00:00,USDT/USD,1.00023,1.00034,1.00023,1.00029,253370.92105,253444.39861710448
1714755600,2024-05-03 17:00:00,USDT/USD,1.00031,1.00038,1.00024,1.00026,644211.16605,644378.660953173
1714752000,2024-05-03 16:00:00,USDT/USD,1.00025,1.00037,1.00025,1.00027,538791.47728,538936.9509788656
1714748400,2024-05-03 15:00:00,USDT/USD,1.00023,1.00032,1.00022,1.00025,507695.47912,507822.40298978
1714744800,2024-05-03 14:00:00,USDT/USD,1.00016,1.00055,1.00009,1.00022,862585.79538,862775.5642549837
1714741200,2024-05-03 13:00:00,USDT/USD,1.00005,1.00070,0.99998,1.00008,809320.25042,809384.9960400338
1714737600,2024-05-03 12:00:00,USDT/USD,1.00006,1.00050,1.00005,1.00006,1012438.06889,1012498.8151741334
1714734000,2024-05-03 11:00:00,USDT/USD,1.00010,1.00016,1.00005,1.00006,311968.52282,311987.2409313692
1714730400,2024-05-03 10:00:00,USDT/USD,1.00005,1.00017,1.00005,1.00005,557105.27854,557133.133803927
1714726800,2024-05-03 09:00:00,USDT/USD,1.00006,1.00021,1.00005,1.00006,491344.82764,491374.30832965835
1714723200,2024-05-03 08:00:00,USDT/USD,1.00014,1.00014,1.00005,1.00006,93927.31890,93932.95453913399
1714719600,2024-05-03 07:00:00,USDT/USD,1.00013,1.00015,1.00011,1.00013,1532935.00453,1533134.2860805888
1714716000,2024-05-03 06:00:00,USDT/USD,1.00016,1.00017,1.00011,1.00015,465060.33840,465130.0974507601
1714712400,2024-05-03 05:00:00,USDT/USD,1.00007,1.00017,1.00006,1.00016,131082.35239,131103.32556638238
1714708800,2024-05-03 04:00:00,USDT/USD,1.00013,1.00013,1.00005,1.00006,24629.62917,24631.1069477502
1714705200,2024-05-03 03:00:00,USDT/USD,1.00017,1.00017,1.00009,1.00017,13040.76604,13042.9829702268
1714701600,2024-05-03 02:00:00,USDT/USD,1.00012,1.00017,1.00007,1.00009,2519.89765,2520.1244407884997
