https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume USD
1715040000,2024-05-07 00:00:00,USDT/USD,1.00005,1.00005,1.00005,1.00005,0.00000,0.0
1714953600,2024-05-06 00:00:00,USDT/USD,1.00024,1.00057,0.99989,1.00005,6349240.46649,6349557.928513325
1714867200,2024-05-05 00:00:00,USDT/USD,1.00021,1.00038,1.00001,1.00001,2202362.63744,2202384.6610663747
1714780800,2024-05-04 00:00:00,USDT/USD,1.00051,1.00055,1.00021,1.00022,1066773.71300,1067008.40321686
1714694400,2024-05-03 00:00:00,USDT/USD,1.00005,1.00082,0.99998,1.00051,9639858.39426,9644774.722041072
1714608000,2024-05-02 00:00:00,USDT/USD,0.99856,1.00024,0.99856,1.00005,12641585.69535,12642217.77463477
1714521600,2024-05-01 00:00:00,USDT/USD,0.99917,0.99955,0.99836,0.99857,4747896.44930,4741106.957377501
1714435200,2024-04-30 00:00:00,USDT/USD,0.99977,1.00000,0.99835,0.99918,11939822.77337,11930032.118695837
1714348800,2024-04-29 00:00:00,USDT/USD,0.99978,1.00000,0.99944,0.99969,9433305.27267,9430380.948035473
1714262400,2024-04-28 00:00:00,USDT/USD,0.99940,1.00000,0.99913,0.99977,818848.83838,818660.5031471726
1714176000,2024-04-27 00:00:00,USDT/USD,0.99971,0.99990,0.99915,0.99939,1152740.05719,1152036.8857551143
1714089600,2024-04-26 00:00:00,USDT/USD,0.99978,1.00015,0.99951,0.99971,7742291.98221,7740046.717535159
1714003200,2024-04-25 00:00:00,USDT/USD,0.99955,1.00014,0.99925,0.99978,8032680.15291,8030912.963276359
1713916800,2024-04-24 00:00:00,USDT/USD,0.99999,1.00018,0.99910,0.99954,11751761.39928,11746355.58903633
1713830400,2024-04-23 00:00:00,USDT/USD,1.00038,1.00075,0.99999,1.00007,10785857.08408,10786612.094075885
1713744000,2024-04-22 00:00:00,USDT/USD,1.00017,1.00080,1.00001,1.00038,13941597.27407,13946895.081034148
