https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume USD
1714867200,2024-05-05,USDT/USD,1.0002,1.0002,1.0,1.0,4578.052732,4578.052732
1714780800,2024-05-04,USDT/USD,1.0002,1.0002,1.0002,1.0002,11174.911165,11177.146147233
1714694400,2024-05-03,USDT/USD,1.0002,1.0002,1.0,1.0002,7328.845315,7330.311084063
1714608000,2024-05-02,USDT/USD,0.9998,1.0002,0.9998,1.0002,12617.826679,12620.3502443358
1714521600,2024-05-01,USDT/USD,0.9998,0.9998,0.9998,0.9998,1848.066894,1847.6972806212
1714435200,2024-04-30,USDT/USD,1.0004,1.0004,0.9998,0.9998,148373.333705,148343.659038259
1714348800,2024-04-29,USDT/USD,1.0004,1.0007,1.0004,1.0004,10311.528253,10315.6528643012
1714262400,2024-04-28,USDT/USD,1.0004,1.0004,1.0004,1.0004,749.618098,749.9179452392
1714176000,2024-04-27,USDT/USD,1.0004,1.0004,1.0004,1.0004,1897.884323,1898.6434767291998
1714089600,2024-04-26,USDT/USD,1.0004,1.0004,1.0004,1.0004,4446.294685,4448.073202873999
1714003200,2024-04-25,USDT/USD,1.0005,1.0005,1.0004,1.0004,7502.527884,7505.5288951535995
1713916800,2024-04-24,USDT/USD,1.0008,1.0008,1.0005,1.0005,90830.688374,90876.103718187
1713830400,2024-04-23,USDT/USD,1.0009,1.0009,1.0008,1.0008,9164.021841,9171.3530584728
1713744000,2024-04-22,USDT/USD,1.0009,1.0009,1.0009,1.0009,4446.239998,4450.2416139982
1713657600,2024-04-21,USDT/USD,1.0009,1.0009,1.0009,1.0009,2390.571037,2392.7225509332998
1713571200,2024-04-20,USDT/USD,1.0009,1.0009,1.0009,1.0009,4273.803547,4277.6499701923
1713484800,2024-04-19,USDT/USD,1.0009,1.0009,1.0009,1.0009,4529.802689,4533.879511420099
1713398400,2024-04-18,USDT/USD,1.0009,1.0012,1.0009,1.0009,4191.201794,4194.973875614599
1713312000,2024-04-17,USDT/USD,1.0009,1.0009,1.0009,1.0009,4105.892067,4109.587369860299
1713225600,2024-04-16,USDT/USD,1.001,1.001,1.0009,1.0009,7728.53931,7735.494995378999
1713139200,2024-04-15,USDT/USD,1.001,1.001,1.001,1.001,2564.449999,2567.014448999
1713052800,2024-04-14,USDT/USD,1.001,1.0013,1.001,1.001,7561.992004,7569.553996003999
1712966400,2024-04-13,USDT/USD,1.0005,1.0013,1.0002,1.0013,206213.435079,206481.5125446027
1712880000,2024-04-12,USDT/USD,1.0001,1.0005,1.0,1.0005,58840.965945,58870.3864279725
1712793600,2024-04-11,USDT/USD,1.0001,1.0001,1.0001,1.0001,13369.091064,13370.4279731064
