Date,Open,High,Low,Close
05/06/2024,"17,950.98","18,094.46","17,937.28","18,093.57"
05/03/2024,"17,848.66","17,926.98","17,784.78","17,890.80"
05/02/2024,"17,474.91","17,575.81","17,290.64","17,541.54"
05/01/2024,"17,382.78","17,667.86","17,284.37","17,318.55"
04/30/2024,"17,720.35","17,768.87","17,440.69","17,440.69"
04/29/2024,"17,801.14","17,820.00","17,671.03","17,782.72"
04/26/2024,"17,566.22","17,772.78","17,533.08","17,718.30"
04/25/2024,"17,205.28","17,474.46","17,172.42","17,430.50"
04/24/2024,"17,613.66","17,653.66","17,435.33","17,526.80"
04/23/2024,"17,297.24","17,513.31","17,277.26","17,471.47"
04/22/2024,"17,161.11","17,305.15","17,010.26","17,210.89"
04/19/2024,"17,334.71","17,362.28","16,973.94","17,037.65"
04/18/2024,"17,514.77","17,590.81","17,376.49","17,394.31"
04/17/2024,"17,785.82","17,788.54","17,459.57","17,493.62"
04/16/2024,"17,691.45","17,817.73","17,660.89","17,713.66"
04/15/2024,"18,143.26","18,152.08","17,676.35","17,706.83"
04/12/2024,"18,117.67","18,166.49","17,952.09","18,003.49"
04/11/2024,"18,085.11","18,337.15","17,998.25","18,307.98"
04/10/2024,"17,957.96","18,040.83","17,932.41","18,011.65"
04/09/2024,"18,188.87","18,210.02","17,973.07","18,169.90"
04/08/2024,"18,130.44","18,178.66","18,050.69","18,100.19"
