https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1668211200000.0,2022-11-12 00:00:00,LTC/USD,57.045,57.14,55.025,56.03,378.34076923076924,21198.4333
1668124800000.0,2022-11-11 00:00:00,LTC/USD,57.0,61.97,47.87,57.045,14329.6481742484,817434.7801
1668038400000.0,2022-11-10 00:00:00,LTC/USD,50.525,57.005,48.1,57.0,112710.64954298246,6424507.02395
1667952000000.0,2022-11-09 00:00:00,LTC/USD,57.735,59.795,47.445,50.525,226436.93448688768,11440726.11495
1667865600000.0,2022-11-08 00:00:00,LTC/USD,67.455,68.875,53.435,57.735,321954.12618255825,18588021.47515
1667779200000.0,2022-11-07 00:00:00,LTC/USD,68.23,73.275,66.255,67.455,295564.087286339,19937275.5079
1667692800000.0,2022-11-06 00:00:00,LTC/USD,69.28,70.855,67.54,68.23,169221.4623735893,11545980.37775
1667606400000.0,2022-11-05 00:00:00,LTC/USD,67.61,71.945,67.13,69.28,223744.53737442262,15501021.5493
1667520000000.0,2022-11-04 00:00:00,LTC/USD,61.855,70.44,61.67,67.61,291018.09144579206,19675733.16265
1667433600000.0,2022-11-03 00:00:00,LTC/USD,60.94,64.725,60.125,61.855,271027.73573599546,16764420.59395
1667347200000.0,2022-11-02 00:00:00,LTC/USD,55.11,62.875,54.665,60.94,318553.537381851,19412652.56805
1667260800000.0,2022-11-01 00:00:00,LTC/USD,55.015,55.89,54.5,55.11,186322.9049192524,10268255.2901
1667174400000.0,2022-10-31 00:00:00,LTC/USD,55.37,56.42,54.005,55.015,246373.0913914387,13554215.6229
1667088000000.0,2022-10-30 00:00:00,LTC/USD,56.63,57.515,54.745,55.37,157705.77478417917,8732168.7498
1667001600000.0,2022-10-29 00:00:00,LTC/USD,54.925,57.63,54.67,56.63,183732.97123785978,10404798.1612
1666915200000.0,2022-10-28 00:00:00,LTC/USD,54.75,55.575,53.505,54.925,189631.68808648156,10415520.46815
1666828800000.0,2022-10-27 00:00:00,LTC/USD,56.395,56.685,54.525,54.75,257209.28608767124,14082208.4133
1666742400000.0,2022-10-26 00:00:00,LTC/USD,55.965,57.645,55.7,56.395,266975.3793572125,15056076.51885
