unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1.71444E+12,4/30/2024 0:00,DOGE/USD,0.144,0.1458,0.12915,0.1335,9051196.37,1208334.715
1.71435E+12,4/29/2024 0:00,DOGE/USD,0.14668,0.14797,0.1398,0.144,3276892.745,471872.5553
1.71426E+12,4/28/2024 0:00,DOGE/USD,0.14782,0.15086,0.14604,0.14668,1188584.448,174341.5668
1.71418E+12,4/27/2024 0:00,DOGE/USD,0.14754,0.14929,0.14214,0.14782,2143638.787,316872.6855
1.71409E+12,4/26/2024 0:00,DOGE/USD,0.15145,0.15169,0.14629,0.14754,4003837.733,590726.2191
1.714E+12,4/25/2024 0:00,DOGE/USD,0.1514,0.15433,0.1475,0.15145,2819406.706,426999.1456
1.71392E+12,4/24/2024 0:00,DOGE/USD,0.15979,0.16428,0.14939,0.1514,4265815.705,645844.4977
1.71383E+12,4/23/2024 0:00,DOGE/USD,0.16131,0.1629,0.15701,0.15979,1821839.059,291111.6632
1.71374E+12,4/22/2024 0:00,DOGE/USD,0.15817,0.16335,0.15658,0.16131,2032582.352,327875.8593
1.71366E+12,4/21/2024 0:00,DOGE/USD,0.16282,0.16581,0.15526,0.15817,2421871.412,383067.4012
1.71357E+12,4/20/2024 0:00,DOGE/USD,0.15617,0.16381,0.15087,0.16282,3000984.22,488620.2507
1.71348E+12,4/19/2024 0:00,DOGE/USD,0.15238,0.15717,0.139,0.15617,9435275.632,1473506.996
1.7134E+12,4/18/2024 0:00,DOGE/USD,0.1481,0.15388,0.14108,0.15238,3004396.098,457809.8774
1.71331E+12,4/17/2024 0:00,DOGE/USD,0.15574,0.15862,0.14434,0.1481,5217552.414,772719.5124
1.71323E+12,4/16/2024 0:00,DOGE/USD,0.16169,0.16227,0.1465,0.15574,4818984.776,750508.689
1.71314E+12,4/15/2024 0:00,DOGE/USD,0.16232,0.16927,0.15054,0.16169,6440188.284,1041314.044
1.71305E+12,4/14/2024 0:00,DOGE/USD,0.1582,0.16795,0.14389,0.16232,6476266.234,1051227.535
1.71297E+12,4/13/2024 0:00,DOGE/USD,0.17496,0.17598,0.13708,0.1582,9825282.565,1554359.702
1.71288E+12,4/12/2024 0:00,DOGE/USD,0.19389,0.20128,0.1605,0.17496,14000390.51,2449508.323
1.71279E+12,4/11/2024 0:00,DOGE/USD,0.20001,0.20348,0.18988,0.19389,3195882.213,619649.6022
1.71271E+12,4/10/2024 0:00,DOGE/USD,0.18903,0.20204,0.18018,0.20001,6702947.051,1340656.44
1.71262E+12,4/9/2024 0:00,DOGE/USD,0.20236,0.203,0.18596,0.18903,5099265.075,963914.0771
1.71253E+12,4/8/2024 0:00,DOGE/USD,0.19902,0.2087,0.19569,0.20236,4668998.081,944818.4516
1.71245E+12,4/7/2024 0:00,DOGE/USD,0.1858,0.20511,0.1858,0.19902,5147685.967,1024492.461
1.71236E+12,4/6/2024 0:00,DOGE/USD,0.1773,0.18777,0.17673,0.1858,2680150.655,497971.9917
1.71228E+12,4/5/2024 0:00,DOGE/USD,0.17993,0.18066,0.16773,0.1773,4933608.79,874728.8384
1.71219E+12,4/4/2024 0:00,DOGE/USD,0.17527,0.18822,0.17251,0.17993,6627128.055,1192419.151
1.7121E+12,4/3/2024 0:00,DOGE/USD,0.18274,0.18749,0.17032,0.17527,4896927.01,858284.397
1.71202E+12,4/2/2024 0:00,DOGE/USD,0.2053,0.2053,0.18006,0.18274,12523354.44,2288517.79
1.71193E+12,4/1/2024 0:00,DOGE/USD,0.22042,0.22042,0.19653,0.2053,7417512.4,1522815.296
1.71184E+12,3/31/2024 0:00,DOGE/USD,0.19959,0.22337,0.19959,0.22042,6699668.13,1476740.849
1.71176E+12,3/30/2024 0:00,DOGE/USD,0.21345,0.21696,0.19669,0.19959,6234373.283,1244318.563
1.71167E+12,3/29/2024 0:00,DOGE/USD,0.22028,0.22474,0.208,0.21345,6368557.353,1359368.567
1.71158E+12,3/28/2024 0:00,DOGE/USD,0.1904,0.22889,0.1892,0.22028,17732957.35,3906215.846
1.7115E+12,3/27/2024 0:00,DOGE/USD,0.18221,0.19161,0.17847,0.1904,13487696.46,2568057.406
1.71141E+12,3/26/2024 0:00,DOGE/USD,0.17516,0.187,0.1747,0.18221,5754224.177,1048477.187
1.71132E+12,3/25/2024 0:00,DOGE/USD,0.17683,0.18663,0.17015,0.17516,8824036.949,1545618.312
1.71124E+12,3/24/2024 0:00,DOGE/USD,0.16174,0.1799,0.16094,0.17683,7940660.487,1404146.994
1.71115E+12,3/23/2024 0:00,DOGE/USD,0.15294,0.17491,0.15218,0.16174,6939331.303,1122367.445
1.71107E+12,3/22/2024 0:00,DOGE/USD,0.15556,0.168,0.1459,0.15294,15150528.29,2317121.796
1.71098E+12,3/21/2024 0:00,DOGE/USD,0.15267,0.15969,0.14669,0.15556,9872421.843,1535753.942
1.71089E+12,3/20/2024 0:00,DOGE/USD,0.1288,0.15344,0.12291,0.15267,8981465.582,1371200.35
1.71081E+12,3/19/2024 0:00,DOGE/USD,0.14338,0.14495,0.12647,0.1288,11066175.44,1425323.397
1.71072E+12,3/18/2024 0:00,DOGE/USD,0.15409,0.15409,0.14,0.14338,3983955.958,571219.6053
1.71063E+12,3/17/2024 0:00,DOGE/USD,0.14246,0.15893,0.13669,0.15409,4972644.479,766234.7878
1.71055E+12,3/16/2024 0:00,DOGE/USD,0.16328,0.16508,0.13806,0.14246,10711691.41,1525987.558
1.71046E+12,3/15/2024 0:00,DOGE/USD,0.17738,0.18116,0.15236,0.16328,13472732.56,2199827.773
1.71037E+12,3/14/2024 0:00,DOGE/USD,0.16889,0.1919,0.16524,0.17738,22608246.48,4010250.761
1.71029E+12,3/13/2024 0:00,DOGE/USD,0.16804,0.1743,0.16568,0.16889,12696181.26,2144258.053
1.7102E+12,3/12/2024 0:00,DOGE/USD,0.18194,0.1835,0.15972,0.16804,20305051.03,3412060.775
1.71012E+12,3/11/2024 0:00,DOGE/USD,0.17014,0.18305,0.16001,0.18194,11453461.27,2083842.743
1.71003E+12,3/10/2024 0:00,DOGE/USD,0.179,0.18064,0.16541,0.17014,6367119.769,1083301.758
1.70994E+12,3/9/2024 0:00,DOGE/USD,0.16512,0.18499,0.16415,0.179,8849155.4,1583998.817
1.70986E+12,3/8/2024 0:00,DOGE/USD,0.15829,0.17596,0.15498,0.16512,23301850.07,3847601.483
1.70977E+12,3/7/2024 0:00,DOGE/USD,0.15791,0.16238,0.1465,0.15829,8240439.278,1304379.133
1.70968E+12,3/6/2024 0:00,DOGE/USD,0.16099,0.1798,0.14643,0.15791,19306247.33,3048649.516
1.7096E+12,3/5/2024 0:00,DOGE/USD,0.18224,0.20686,0.12927,0.16099,47817237.48,7698097.062
1.70951E+12,3/4/2024 0:00,DOGE/USD,0.15396,0.18598,0.14507,0.18224,29242228.83,5329103.782
1.70942E+12,3/3/2024 0:00,DOGE/USD,0.14198,0.15636,0.126,0.15396,16294180.46,2508652.024
1.70934E+12,3/2/2024 0:00,DOGE/USD,0.14008,0.1507,0.1361,0.14198,13023121.62,1849022.808
