symbol,date,open,high,low,close,volume
SP500,2-Jan-24,4745.2,4754.33,4722.67,4742.83,2436433000
SP500,3-Jan-24,4725.07,4729.29,4700.13,4704.81,2462781000
SP500,4-Jan-24,4697.42,4726.78,4687.53,4688.68,2367124000
SP500,5-Jan-24,4690.57,4721.46,4682.11,4697.24,2204799000
SP500,8-Jan-24,4703.7,4764.3,4699.99,4763.54,2298968000
SP500,9-Jan-24,4741.93,4765.47,4730.88,4756.5,2236453000
SP500,10-Jan-24,4759.94,4790.8,4756.2,4783.45,2160956000
SP500,11-Jan-24,4792.13,4798.46,4739.58,4780.24,2320940000
SP500,12-Jan-24,4791.18,4802.24,4768.98,4783.83,2236218000
SP500,16-Jan-24,4772.35,4782.34,4747.12,4765.98,2600196000
SP500,17-Jan-24,4739.13,4744.23,4714.82,4739.21,2320340000
SP500,18-Jan-24,4760.1,4785.79,4740.57,4780.94,2591426000
SP500,19-Jan-24,4796.28,4842.07,4786.21,4839.81,2758405000
SP500,22-Jan-24,4853.42,4868.03,4844.05,4850.43,2633780000
SP500,23-Jan-24,4856.8,4866.48,4844.37,4864.6,2388787000
SP500,24-Jan-24,4888.56,4903.68,4865.94,4868.55,2675172000
SP500,25-Jan-24,4886.66,4898.15,4869.34,4894.16,2903392000
SP500,26-Jan-24,4888.91,4906.69,4881.47,4890.97,2388032000
SP500,29-Jan-24,4892.95,4929.31,4887.4,4927.93,2312494000
SP500,30-Jan-24,4925.89,4931.09,4916.27,4924.97,2579106000
SP500,31-Jan-24,4899.19,4906.75,4845.47,4845.65,3297264000
SP500,1-Feb-24,4861.11,4906.97,4853.52,4906.19,2808069000
SP500,2-Feb-24,4916.06,4975.29,4908.43,4958.61,2791774000
SP500,5-Feb-24,4957.19,4957.19,4918.09,4942.81,2584806000
SP500,6-Feb-24,4950.16,4957.77,4935.44,4954.23,2477503000
SP500,7-Feb-24,4973.05,4999.89,4969.8,4995.06,2591207000
SP500,8-Feb-24,4995.16,5000.4,4987.09,4997.91,2436612000
SP500,9-Feb-24,5004.17,5030.06,5000.34,5026.61,2305689000
SP500,12-Feb-24,5026.83,5048.39,5016.83,5021.84,2230538000
SP500,13-Feb-24,4954.07,4971.3,4920.31,4953.17,2581715000
SP500,14-Feb-24,4976.44,5002.26,4956.45,5000.62,2325126000
SP500,15-Feb-24,5003.14,5032.72,4999.44,5029.73,2424881000
SP500,16-Feb-24,5031.13,5038.7,4999.52,5005.57,2298708000
SP500,20-Feb-24,4986.2,4993.71,4955.02,4975.51,2454586000
SP500,21-Feb-24,4963.03,4983.21,4946,4981.8,2254958000
SP500,22-Feb-24,5038.83,5094.39,5038.83,5087.03,2575496000
SP500,23-Feb-24,5100.92,5111.06,5081.46,5088.8,2256863000
SP500,26-Feb-24,5093,5097.66,5069,5069.53,2248390000
SP500,27-Feb-24,5074.6,5080.69,5057.29,5078.18,2149214000
SP500,28-Feb-24,5067.2,5077.37,5058.35,5069.76,2079030000
SP500,29-Feb-24,5085.36,5104.7,5061.89,5096.27,3310290000
SP500,1-Mar-24,5098.51,5140.33,5094.18,5137.08,2453221000
SP500,4-Mar-24,5130.99,5149.67,5127.18,5130.95,2818870000
SP500,5-Mar-24,5110.52,5114.54,5056.82,5078.65,2704130000
SP500,6-Mar-24,5108.03,5127.97,5092.22,5104.76,2604927000
SP500,7-Mar-24,5132.38,5165.62,5129.81,5157.36,2359269000
SP500,8-Mar-24,5164.46,5189.05,5117.5,5123.69,2430071000
SP500,11-Mar-24,5111.96,5124.66,5091.14,5117.94,2207491000
