date,search
2011-04,1
2011-05,1
2011-06,3
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,3
2013-04,8
2013-05,3
2013-06,2
2013-07,2
2013-08,3
2013-09,2
2013-10,4
2013-11,11
2013-12,12
2014-01,8
2014-02,10
2014-03,7
2014-04,4
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,3
2014-12,3
2015-01,4
2015-02,3
2015-03,3
2015-04,3
2015-05,3
2015-06,3
2015-07,4
2015-08,3
2015-09,3
2015-10,3
2015-11,4
2015-12,4
2016-01,4
2016-02,4
2016-03,3
2016-04,3
2016-05,4
2016-06,6
2016-07,4
2016-08,4
2016-09,4
2016-10,4
2016-11,5
2016-12,5
2017-01,7
2017-02,6
2017-03,8
2017-04,7
2017-05,16
2017-06,17
2017-07,14
2017-08,22
2017-09,23
2017-10,23
2017-11,39
2017-12,100
2018-01,60
2018-02,43
2018-03,24
2018-04,21
2018-05,16
2018-06,14
2018-07,14
2018-08,14
2018-09,13
2018-10,11
2018-11,16
2018-12,14
2019-01,11
2019-02,10
2019-03,9
2019-04,13
2019-05,19
2019-06,23
2019-07,20
2019-08,25
2019-09,74
2019-10,14
2019-11,12
2019-12,11
2020-01,14
2020-02,15
2020-03,21
2020-04,17
2020-05,21
2020-06,15
2020-07,16
2020-08,18
2020-09,14
2020-10,16
2020-11,26
2020-12,33
2021-01,65
2021-02,70
2021-03,51
2021-04,56
2021-05,70
2021-06,51
2021-07,34
2021-08,36
2021-09,35
2021-10,42
2021-11,38
2021-12,38
2022-01,47
2022-02,41
2022-03,34
2022-04,27
2022-05,40
2022-06,47
2022-07,32
2022-08,26
2022-09,25
2022-10,20
2022-11,29
2022-12,20
2023-01,24
2023-02,19
2023-03,26
2023-04,25
2023-05,21
2023-06,21
2023-07,20
2023-08,20
2023-09,18
2023-10,22
2023-11,23
2023-12,28
2024-01,33
2024-02,31
2024-03,53
2024-04,37
2024-05,30
